Date,AQI
20141121,358
20141106,69
20150424,88
20140923,132
20140330,73
20150904,77
20140409,224
20140914,95
20150301,0
20150223,146
20150104,265
20150313,120
20150613,44
20140703,266
20141001,93
20140403,142
20140307,75
20151125,93
20140827,102
20141220,57
20150327,134
20150308,317
20150217,170
20140805,85
20140616,187
20150716,71
20150329,289
20141210,305
20141123,130
20151230,382
20150711,150
20150131,49
20140517,106
20150614,61
20150108,189
20140501,158
20140317,174
20151013,80
20150706,113
20140505,66
20150507,92
20150916,183
20140826,77
20150628,207
20150418,215
20140408,225
20151126,65
20151119,107
20140415,273
20140726,148
20140114,154
20140118,223
20150207,117
20150527,127
20140618,112
20150913,51
20151029,29
20140115,230
20141012,192
20150526,136
20140401,204
20140927,180
20140708,268
20141223,108
20140808,108
20150325,171
20140214,339
20150703,102
20140502,145
20140109,35
20141008,310
20140729,161
20140324,282
20140101,93
20150505,85
20140519,154
20151203,17
20150101,56
20151005,276
20140926,175
20140213,240
20140713,53
20151105,287
20140615,156
20150717,65
20140217,347
20151127,290
20141202,61
20140322,93
20140208,125
20151122,79
20141213,65
20141029,131
20150929,88
20150814,168
20140309,189
20150130,85
20140405,92
20140203,89
20140620,164
20150515,55
20140202,181
20150122,147
20140518,131
20141028,77
20150209,182
20150728,114
20140921,199
20140120,157
20151118,85
20150502,165
20140525,140
20141227,246
20141226,211
20151117,92
20150906,41
20150610,108
20150128,53
20150205,51
20150208,48
20150903,46
20151221,292
20150816,152
20150611,114
20150210,213
20140627,187
20150805,115
20150506,78
20141003,153
20140720,95
20140206,160
20150201,124
20150407,52
20150709,174
20150522,110
20141031,210
20151108,76
20150817,113
20150330,444
20150326,160
20150901,43
20150519,106
20150715,65
20150123,282
20151010,45
20150318,253
20140225,424
20151031,63
20150124,286
20140124,297
20141128,97
20150227,26
20140513,111
20140105,205
20140712,64
20150627,144
20140108,127
20150410,272
20140304,277
20150429,160
20140623,103
20141016,82
20140528,110
20140329,179
20151209,324
20150710,104
20140904,80
20141107,64
20140929,107
20140903,48
20141020,283
20150219,271
20151231,89
20151026,71
20151227,329
20151028,53
20150306,276
20141015,99
20150806,112
20140419,100
20150813,167
20140930,73
20140905,128
20141007,173
20151208,295
20150417,133
20150220,267
20140718,227
20150523,126
20140816,124
20140516,153
20140906,193
20150216,389
20150731,71
20150618,68
20150203,228
20140523,190
20141013,44
20151009,52
20140126,68
20150822,42
20140412,141
20150531,118
20150420,102
20150405,131
20150917,205
20140226,479
20140630,152
20151027,68
20150727,165
20150426,144
20150113,213
20141222,95
20150503,91
20141021,232
20150321,137
20140817,108
20141117,99
20140122,171
20150509,84
20140721,93
20140925,148
20150617,150
20150918,221
20150924,160
20150625,156
20150512,77
20150319,168
20150110,266
20140719,183
20151104,262
20150807,153
20151003,64
20150401,172
20140610,95
20141111,97
20141229,182
20151024,102
20141119,282
